City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
California, USA,#blackconservative,Fri Jun 19 20:41:11 +0000 2020,36.92493894,-120.1874709,#fabed4,956.995814,39607.22724,1
Gary, IN,#Feminism,Fri Jun 19 20:46:44 +0000 2020,41.5906,-87.3472,#7ebce6,590,76008,1
Austin, TX,#BlueLivesMurder,Fri Jun 19 20:48:42 +0000 2020,30.3006,-97.7517,#dbcbd8,1144,1638716,1
Austin, TX,#BlueLivesMurder,Fri Jun 19 20:48:42 +0000 2020,30.3006,-97.7517,#dbcbd8,1144,1638716,1
Milwaukee, WI,#Feminism,Fri Jun 19 20:50:24 +0000 2020,43.0642,-87.9673,#7ebce6,2389,1377808,1
Sevierville, TN,#ProChoice,Fri Jun 19 20:50:36 +0000 2020,35.8873,-83.5678,#ff8427,269,24958,1
Long Beach, CA,#DreamersAreAmericans,Fri Jun 19 20:52:29 +0000 2020,33.798,-118.1675,#dcbeff,3575,469450,2
Long Beach, CA,#LGBTQRights,Fri Jun 19 20:52:29 +0000 2020,33.798,-118.1675,#9A6324,3575,469450,1
Long Beach, CA,#DreamersAreAmericans,Fri Jun 19 20:52:29 +0000 2020,33.798,-118.1675,#dcbeff,3575,469450,2
Ohio, USA,#BlueLivesMurder,Fri Jun 19 20:52:53 +0000 2020,40.35181636,-82.80448713,#dbcbd8,549.1569767,11432.45266,1
Ohio, USA,#BlueLivesMurder,Fri Jun 19 20:52:53 +0000 2020,40.35181636,-82.80448713,#dbcbd8,549.1569767,11432.45266,1
Fairfax, Virginia,#Feminism,Fri Jun 19 20:54:49 +0000 2020,38.8531,-77.2997,#7ebce6,1490,24097,1
Steilacoom, WA,#BlueLivesMurder,Fri Jun 19 20:56:06 +0000 2020,47.1699,-122.5935,#dbcbd8,1215,6337,1
Steilacoom, WA,#BlueLivesMurder,Fri Jun 19 20:56:06 +0000 2020,47.1699,-122.5935,#dbcbd8,1215,6337,1
Jacksonville Beach, FL,#Feminism,Fri Jun 19 20:57:27 +0000 2020,30.2782,-81.4045,#7ebce6,1236,23518,1
Nashville, TN,#ProChoice,Fri Jun 19 20:57:35 +0000 2020,36.1715,-86.7843,#ff8427,541,1076645,3
Massachusetts, USA,#masculinity,Fri Jun 19 20:57:50 +0000 2020,42.08924752,-71.18091206,#f58231,1008.886525,63636.99291,1
Colorado, USA,#masculinity,Fri Jun 19 21:01:41 +0000 2020,39.18856198,-105.2954387,#f58231,446.1802198,16481.65275,1
Shelby, Ohio,#LGBTQRights,Fri Jun 19 21:02:04 +0000 2020,40.8847,-82.6578,#9A6324,552,9011,1
Portland, OR,#Feminism,Fri Jun 19 21:02:21 +0000 2020,45.5371,-122.65,#7ebce6,1874,2052796,2
Florida, USA,#ProChoice,Fri Jun 19 21:07:09 +0000 2020,28.1400878,-82.12263066,#ff8427,927.0826374,33241.92747,1
Johnson City, TN,#ProChoice,Fri Jun 19 21:08:30 +0000 2020,36.3406,-82.3803,#ff8427,594,126589,1
Glendale, CA,#LGBTQRights,Fri Jun 19 21:09:56 +0000 2020,34.1818,-118.2468,#9A6324,2572,203054,1
Rockford, TN,#ProChoice,Fri Jun 19 21:11:11 +0000 2020,35.8328,-83.9357,#ff8427,103,855,1
Colorado, USA,#LGBTQRights,Fri Jun 19 21:14:21 +0000 2020,39.18856198,-105.2954387,#9A6324,446.1802198,16481.65275,1
Memphis, TN,#ProChoice,Fri Jun 19 21:19:44 +0000 2020,35.1046,-89.9773,#ff8427,793,1068873,5
Rhode Island, USA,#IllegalAliens,Fri Jun 19 21:29:57 +0000 2020,41.66150625,-71.57234688,#aaffc3,928.21875,51659.46875,1
Tennessee, USA,#ProChoice,Fri Jun 19 21:32:56 +0000 2020,35.82854061,-86.25442746,#ff8427,230.8615023,14237.33099,4
Tennessee, USA,#ProChoice,Fri Jun 19 21:34:42 +0000 2020,35.82854061,-86.25442746,#ff8427,230.8615023,14237.33099,4
Olympia, WA,#LGBTQRights,Fri Jun 19 21:40:51 +0000 2020,47.0417,-122.8959,#9A6324,1092,196078,1
Tennessee, USA,#ProChoice,Fri Jun 19 21:42:06 +0000 2020,35.82854061,-86.25442746,#ff8427,230.8615023,14237.33099,4
Detroit, Michigan,#IllegalAliens,Fri Jun 19 21:42:15 +0000 2020,42.3834,-83.1024,#aaffc3,1873,3522206,1
Ohio, USA,#LGBTQRights,Fri Jun 19 21:44:45 +0000 2020,40.35181636,-82.80448713,#9A6324,549.1569767,11432.45266,1
