,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
269,Ohio, USA,BlackLivesMatter,Sat Jun 20 23:59:50 +0000 2020,40.35181636212625,-82.80448712624585,#f2542d,549.1569767441861,11432.45265780731,1
270,Bryan, TX,BlackLivesMatter,Sat Jun 20 23:59:50 +0000 2020,30.6657,-96.3668,#f2542d,709.0,84021.0,1
272,Durham, NC,BlackLivesMatter,Sat Jun 20 23:59:49 +0000 2020,35.9795,-78.9032,#f2542d,921.0,407575.0,1
274,San Diego, CA,BlackLivesMatter,Sat Jun 20 23:59:48 +0000 2020,32.8312,-117.1225,#f2542d,1683.0,3210314.0,2
277,Pennsylvania, USA,BlackLivesMatter,Sat Jun 20 23:59:45 +0000 2020,40.62121128472223,-77.63372887731481,#f2542d,782.3564814814815,9051.620949074075,1
279,Texas, USA,BlackLivesMatter,Sat Jun 20 23:59:43 +0000 2020,30.65436949941793,-97.80444208381839,#f2542d,467.07974388824215,19220.278230500582,1
280,Boston, MA,BlackLivesMatter,Sat Jun 20 23:59:41 +0000 2020,42.3188,-71.0846,#f2542d,5472.0,4637537.0,1
282,California, USA,BlackLivesMatter,Sat Jun 20 23:59:40 +0000 2020,36.924938936877076,-120.18747089700997,#f2542d,956.9958139534883,39607.22724252492,1
283,San Diego, CA,BlackLivesMatter,Sat Jun 20 23:59:40 +0000 2020,32.8312,-117.1225,#f2542d,1683.0,3210314.0,2
284,Atlanta, GA,BlackLivesMatter,Sat Jun 20 23:59:40 +0000 2020,33.7627,-84.4225,#f2542d,1384.0,5228750.0,1
285,New York, NY,BlackLivesMatter,Sat Jun 20 23:59:40 +0000 2020,40.6943,-73.9249,#f2542d,11083.0,19354922.0,2
287,WA, USA,#WhiteLivesMatter,Sat Jun 20 23:59:59 +0000 2020,47.344806451612904,-121.38152080645162,#e6194B,521.5129032258064,16346.754838709678,1
288,Calhoun, GA,#WhiteLivesMatter,Sat Jun 20 23:49:49 +0000 2020,34.4917,-84.9391,#e6194B,405.0,33029.0,1
291,Seattle, WA,#WhiteLivesMatter,Sat Jun 20 23:40:44 +0000 2020,47.6211,-122.3244,#e6194B,3336.0,3643765.0,1
292,Maryland, USA,#WhiteLivesMatter,Sat Jun 20 23:40:02 +0000 2020,39.096691245136185,-76.99463501945526,#e6194B,843.964980544747,13387.101167315175,1
293,Colorado, USA,#WhiteLivesMatter,Sat Jun 20 23:38:55 +0000 2020,39.18856197802197,-105.29543868131867,#e6194B,446.1802197802198,16481.65274725275,1
301,California, USA,#WhiteLivesMatter,Sat Jun 20 23:29:55 +0000 2020,36.924938936877076,-120.18747089700997,#e6194B,956.9958139534883,39607.22724252492,1
305,Arkansas, high ground #MAGA,#redpill,Sat Jun 20 23:59:48 +0000 2020,35.07553649906891,-92.35809255121043,#3cb44b,199.72625698324023,4858.420856610801,1
306,Tennessee, USA,#redpill,Sat Jun 20 23:59:33 +0000 2020,35.82854061032864,-86.25442746478873,#3cb44b,230.86150234741785,14237.330985915492,1
307,Georgia, USA,#redpill,Sat Jun 20 23:58:48 +0000 2020,32.96564403225806,-83.57147564516129,#3cb44b,315.7548387096774,17340.274193548386,1
308,Pikeville, KY,#redpill,Sat Jun 20 23:58:16 +0000 2020,37.4807,-82.5262,#3cb44b,118.0,7685.0,1
