Index,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
209,Atlanta, Georgia,#ProChoice,Sun Jun 21 06:10:25 +0000 2020,33.7627,-84.4225,#ff8427,1384.0,5228750.0,1
210,New York, USA,#ProChoice,Sun Jun 21 06:09:53 +0000 2020,42.11192215013902,-75.02628554216868,#ff8427,970.2613531047266,35076.80815569972,4
211,Greenville, SC,#ProChoice,Sun Jun 21 06:09:06 +0000 2020,34.8362,-82.3649,#ff8427,902.0,467894.0,1
212,Tacoma, WA,#ProChoice,Sun Jun 21 06:08:09 +0000 2020,47.2431,-122.4531,#ff8427,1657.0,213418.0,1
213,Washington, DC,#ProLife,Sun Jun 21 01:06:15 +0000 2020,38.9047,-77.0163,#564787,4382.0,5289420.0,1
214,Florida, USA,#ProLife,Sun Jun 21 11:58:42 +0000 2020,28.1400878021978,-82.12263065934067,#564787,927.0826373626373,33241.92747252747,1
216,Franklin, Tennessee,#ProLife,Sun Jun 21 11:55:31 +0000 2020,35.9216,-86.8525,#564787,727.0,78321.0,1
218,Ohio, Massachusetts,#ProLife,Sun Jun 21 11:49:33 +0000 2020,40.35181636212625,-82.80448712624585,#564787,549.1569767441861,11432.45265780731,1
219,North Carolina, USA,#ProLife,Sun Jun 21 11:45:47 +0000 2020,35.439809510869566,-79.32081358695652,#564787,296.32065217391306,12504.385869565218,1
220,Bradenton, FL,#ProLife,Sun Jun 21 11:36:10 +0000 2020,27.49,-82.574,#564787,1512.0,56508.0,1
222,Maryland, USA,#ProLife,Sun Jun 21 11:25:52 +0000 2020,39.096691245136185,-76.99463501945526,#564787,843.964980544747,13387.101167315175,1
224,Marco Island, FL,#ProLife,Sun Jun 21 11:11:05 +0000 2020,25.933,-81.6993,#564787,568.0,17904.0,1
226,Harrisburg, PA,#ProLife,Sun Jun 21 11:01:15 +0000 2020,40.2752,-76.8843,#564787,2339.0,441580.0,1
229,Michigan, USA,#ProLife,Sun Jun 21 10:44:10 +0000 2020,43.47372115942029,-84.86635913043477,#564787,503.21159420289854,15115.937681159421,1
233,Albuquerque, NM,#ProLife,Sun Jun 21 09:35:16 +0000 2020,35.1053,-106.6464,#564787,1151.0,758523.0,1
235,Atlanta, GA,#BlueLivesMurder,Sun Jun 21 11:23:30 +0000 2020,33.7627,-84.4225,#dbcbd8,1384.0,5228750.0,2
236,Missoula, MT,#BlueLivesMurder,Sun Jun 21 11:04:41 +0000 2020,46.8685,-114.0095,#dbcbd8,967.0,90218.0,1
237,San Antonio, TX,#BlueLivesMurder,Sun Jun 21 08:42:19 +0000 2020,29.4658,-98.5254,#dbcbd8,1204.0,2002530.0,1
238,Oregon, USA,#BlueLivesMurder,Sun Jun 21 05:46:25 +0000 2020,44.56224297082228,-122.01842334217507,#dbcbd8,621.6392572944297,13825.602122015915,2
239,Cincinnati, OH,#BlueLivesMurder,Sun Jun 21 05:43:03 +0000 2020,39.1412,-84.506,#dbcbd8,1493.0,1648254.0,1
240,La Puente, CA,#BlueLivesMurder,Sun Jun 21 02:05:12 +0000 2020,34.0323,-117.9533,#dbcbd8,4475.0,40322.0,1
241,Florida, USA,#BlueLivesMurder,Sun Jun 21 01:39:27 +0000 2020,28.1400878021978,-82.12263065934067,#dbcbd8,927.0826373626373,33241.92747252747,2
